x,y,z
1.567772,-0.1477134,-7.91
1.570482,-0.1477134,-7.91
1.573193,-0.1477134,-7.91
1.575903,-0.1477134,-7.91
1.578613,-0.1477134,-7.91
1.581323,-0.1477134,-7.91
1.107063,-0.1477134,-7.91
1.109773,-0.1477134,-7.91
1.112483,-0.1477134,-7.91
1.115193,-0.1477134,-7.91
1.117903,-0.1477134,-7.91
1.120613,-0.1477134,-7.91
1.123323,-0.1477134,-7.91
1.126033,-0.1477134,-7.91
1.388909,-0.1477134,-7.91
1.391619,-0.1477134,-7.91
1.394329,-0.1477134,-7.91
1.397039,-0.1477134,-7.91
1.399749,-0.1477134,-7.91
1.402459,-0.1477134,-7.91
1.405169,-0.1477134,-7.91
1.407879,-0.1477134,-7.91
0.9336195,-0.1477134,-7.91
0.9363295,-0.1477134,-7.91
0.9390396,-0.1477134,-7.91
0.9417497,-0.1477134,-7.91
0.9444597,-0.1477134,-7.91
0.9471698,-0.1477134,-7.91
0.9498798,-0.1477134,-7.91
0.9525899,-0.1477134,-7.91
1.172104,-0.1477134,-7.91
1.174814,-0.1477134,-7.91
1.177524,-0.1477134,-7.91
1.180235,-0.1477134,-7.91
1.182945,-0.1477134,-7.91
1.185655,-0.1477134,-7.91
1.188365,-0.1477134,-7.91
1.191075,-0.1477134,-7.91
1.150424,-0.1477134,-7.91
1.153134,-0.1477134,-7.91
1.155844,-0.1477134,-7.91
1.158554,-0.1477134,-7.91
1.161264,-0.1477134,-7.91
1.163974,-0.1477134,-7.91
1.166684,-0.1477134,-7.91
1.169394,-0.1477134,-7.91
0.9769804,-0.1477134,-7.91
0.9796905,-0.1477134,-7.91
0.9824005,-0.1477134,-7.91
0.9851105,-0.1477134,-7.91
0.9878206,-0.1477134,-7.91
0.9905307,-0.1477134,-7.91
0.9932407,-0.1477134,-7.91
0.9959508,-0.1477134,-7.91
0.8252172,-0.1477134,-7.91
0.8279274,-0.1477134,-7.91
0.8306374,-0.1477134,-7.91
0.8333474,-0.1477134,-7.91
0.8360575,-0.1477134,-7.91
0.8387676,-0.1477134,-7.91
0.8414776,-0.1477134,-7.91
0.8441877,-0.1477134,-7.91
0.7710162,-0.1477134,-7.91
0.7737262,-0.1477134,-7.91
0.7764363,-0.1477134,-7.91
0.7791463,-0.1477134,-7.91
0.77,-0.1475276,-7.905393
0.7710162,-0.1450033,-7.91
0.77,-0.148864,-7.897978
0.77,-0.1448116,-7.905393
0.7710162,-0.1422933,-7.91
0.77,-0.1461384,-7.897978
0.77,-0.1420956,-7.905393
0.7710162,-0.1395832,-7.91
0.7818564,-0.1477134,-7.91
0.7845664,-0.1477134,-7.91
0.7872765,-0.1477134,-7.91
0.7899866,-0.1477134,-7.91
0.7926966,-0.1477134,-7.91
0.7954067,-0.1477134,-7.91
0.7981167,-0.1477134,-7.91
0.8008268,-0.1477134,-7.91
1.020341,-0.1477134,-7.91
1.023051,-0.1477134,-7.91
1.025761,-0.1477134,-7.91
1.028471,-0.1477134,-7.91
1.031181,-0.1477134,-7.91
1.033892,-0.1477134,-7.91
1.036602,-0.1477134,-7.91
1.039312,-0.1477134,-7.91
0.9986608,-0.1477134,-7.91
1.001371,-0.1477134,-7.91
1.004081,-0.1477134,-7.91
1.006791,-0.1477134,-7.91
1.009501,-0.1477134,-7.91
1.012211,-0.1477134,-7.91
1.014921,-0.1477134,-7.91
1.017631,-0.1477134,-7.91
1.367228,-0.1477134,-7.91
1.369938,-0.1477134,-7.91
1.372648,-0.1477134,-7.91
1.375358,-0.1477134,-7.91
1.378069,-0.1477134,-7.91
1.380779,-0.1477134,-7.91
1.383489,-0.1477134,-7.91
1.386199,-0.1477134,-7.91
1.605713,-0.1477134,-7.91
1.608423,-0.1477134,-7.91
1.611133,-0.1477134,-7.91
1.613843,-0.1477134,-7.91
1.616553,-0.1477134,-7.91
1.619263,-0.1477134,-7.91
1.621974,-0.1477134,-7.91
1.624684,-0.1477134,-7.91
1.193785,-0.1477134,-7.91
1.196495,-0.1477134,-7.91
1.199205,-0.1477134,-7.91
1.201915,-0.1477134,-7.91
1.204625,-0.1477134,-7.91
1.207335,-0.1477134,-7.91
1.210045,-0.1477134,-7.91
1.212755,-0.1477134,-7.91
1.410589,-0.1477134,-7.91
1.413299,-0.1477134,-7.91
1.416009,-0.1477134,-7.91
1.418719,-0.1477134,-7.91
1.421429,-0.1477134,-7.91
1.424139,-0.1477134,-7.91
1.426849,-0.1477134,-7.91
1.42956,-0.1477134,-7.91
1.649074,-0.1477134,-7.91
1.651784,-0.1477134,-7.91
1.654494,-0.1477134,-7.91
1.657204,-0.1477134,-7.91
1.659914,-0.1477134,-7.91
1.662624,-0.1477134,-7.91
1.665334,-0.1477134,-7.91
1.668044,-0.1477134,-7.91
0.8035368,-0.1477134,-7.91
0.8062469,-0.1477134,-7.91
0.808957,-0.1477134,-7.91
0.811667,-0.1477134,-7.91
0.814377,-0.1477134,-7.91
0.8170871,-0.1477134,-7.91
0.8197972,-0.1477134,-7.91
0.8225072,-0.1477134,-7.91
1.258826,-0.1477134,-7.91
1.261536,-0.1477134,-7.91
1.264246,-0.1477134,-7.91
1.266956,-0.1477134,-7.91
1.269666,-0.1477134,-7.91
1.272376,-0.1477134,-7.91
1.275086,-0.1477134,-7.91
1.277797,-0.1477134,-7.91
1.757476,-0.1477134,-7.91
1.760186,-0.1477134,-7.91
1.762896,-0.1477134,-7.91
1.765607,-0.1477134,-7.91
1.768317,-0.1477134,-7.91
1.768317,-0.1450033,-7.91
1.768317,-0.1422933,-7.91
1.768317,-0.1395832,-7.91
1.042022,-0.1477134,-7.91
1.044732,-0.1477134,-7.91
1.047442,-0.1477134,-7.91
1.050152,-0.1477134,-7.91
1.052862,-0.1477134,-7.91
1.055572,-0.1477134,-7.91
1.058282,-0.1477134,-7.91
1.060992,-0.1477134,-7.91
1.584033,-0.1477134,-7.91
1.586743,-0.1477134,-7.91
1.589453,-0.1477134,-7.91
1.592163,-0.1477134,-7.91
1.594873,-0.1477134,-7.91
1.597583,-0.1477134,-7.91
1.600293,-0.1477134,-7.91
1.603003,-0.1477134,-7.91
0.8685782,-0.1477134,-7.91
0.8712882,-0.1477134,-7.91
0.8739983,-0.1477134,-7.91
0.8767083,-0.1477134,-7.91
0.8794184,-0.1477134,-7.91
0.8821284,-0.1477134,-7.91
0.8848385,-0.1477134,-7.91
0.8875486,-0.1477134,-7.91
1.627394,-0.1477134,-7.91
1.630104,-0.1477134,-7.91
1.632814,-0.1477134,-7.91
1.635524,-0.1477134,-7.91
1.638234,-0.1477134,-7.91
1.640944,-0.1477134,-7.91
1.643654,-0.1477134,-7.91
1.646364,-0.1477134,-7.91
1.43227,-0.1477134,-7.91
1.43498,-0.1477134,-7.91
1.43769,-0.1477134,-7.91
1.4404,-0.1477134,-7.91
1.44311,-0.1477134,-7.91
1.44582,-0.1477134,-7.91
1.44853,-0.1477134,-7.91
1.45124,-0.1477134,-7.91
1.692435,-0.1477134,-7.91
1.695145,-0.1477134,-7.91
1.697855,-0.1477134,-7.91
1.700565,-0.1477134,-7.91
1.703275,-0.1477134,-7.91
1.705985,-0.1477134,-7.91
1.708695,-0.1477134,-7.91
1.711405,-0.1477134,-7.91
1.215465,-0.1477134,-7.91
1.218175,-0.1477134,-7.91
1.220885,-0.1477134,-7.91
1.223595,-0.1477134,-7.91
1.226305,-0.1477134,-7.91
1.229015,-0.1477134,-7.91
1.231726,-0.1477134,-7.91
1.234436,-0.1477134,-7.91
1.475631,-0.1477134,-7.91
1.478341,-0.1477134,-7.91
1.481051,-0.1477134,-7.91
1.483761,-0.1477134,-7.91
1.486471,-0.1477134,-7.91
1.489181,-0.1477134,-7.91
1.491891,-0.1477134,-7.91
1.494601,-0.1477134,-7.91
0.77,-0.1285154,-7.905393
0.7710162,-0.1260329,-7.91
0.77,-0.1257994,-7.905393
0.7710162,-0.1233229,-7.91
0.77,-0.1230833,-7.905393
0.7710162,-0.1206128,-7.91
0.77,-0.1203673,-7.905393
0.7710162,-0.1179028,-7.91
0.7699999,-0.1474746,-7.89051
0.77,-0.1393795,-7.905393
0.7710162,-0.1368732,-7.91
0.77,-0.1488203,-7.88299
0.77,-0.1366635,-7.905393
0.7710162,-0.1341631,-7.91
0.77,-0.1460753,-7.88299
0.77,-0.1339474,-7.905393
0.7710162,-0.131453,-7.91
0.77,-0.1312314,-7.905393
0.7710162,-0.128743,-7.91
0.7699999,-0.1487761,-7.867787
0.7699999,-0.1460113,-7.867787
0.77,-0.1473663,-7.860103
0.77,-0.1487311,-7.852364
0.77,-0.1474208,-7.875415
1.768317,-0.1260329,-7.91
1.768317,-0.1233229,-7.91
1.768317,-0.1206128,-7.91
1.768317,-0.1179028,-7.91
1.768317,-0.1368732,-7.91
1.768317,-0.1341631,-7.91
1.768317,-0.131453,-7.91
1.768317,-0.128743,-7.91
0.7699999,-0.1471978,-7.812812
0.77,-0.1472548,-7.828806
0.77,-0.1486393,-7.820838
0.77,-0.1458136,-7.820838
0.77,-0.1459463,-7.852364
0.77,-0.1473109,-7.844568
0.77,-0.1486855,-7.836716
0.77,-0.1458804,-7.836716
0.77,-0.1067872,-7.905393
0.7710162,-0.1043525,-7.91
0.77,-0.1040711,-7.905393
0.7710162,-0.1016424,-7.91
0.77,-0.1013551,-7.905393
0.7710162,-0.09893239,-7.91
0.77,-0.09863907,-7.905393
0.7710162,-0.09622233,-7.91
0.77,-0.1176513,-7.905393
0.7710162,-0.1151927,-7.91
0.77,-0.1149353,-7.905393
0.7710162,-0.1124827,-7.91
0.77,-0.1122192,-7.905393
0.7710162,-0.1097726,-7.91
0.77,-0.1095032,-7.905393
0.7710162,-0.1070625,-7.91
1.768317,-0.1043525,-7.91
1.768317,-0.1016424,-7.91
1.768317,-0.09893239,-7.91
1.768317,-0.09622233,-7.91
1.768317,-0.1151927,-7.91
1.768317,-0.1124827,-7.91
1.768317,-0.1097726,-7.91
